id,char,freq
0,<pad>,0
1,<sos>,0
2,<eos>,0
3, ,5617966
4,이,679722
5,다,593947
6,는,500105
7,어,466202
8,을,445404
9,요,438423
10,가,403741
11,에,399320
12,니,365295
13,지,305848
14,고,304548
15,아,297228
16,은,284869
17,습,237745
18,를,233809
19,리,227996
20,나,225417
21,들,219187
22,의,215743
23,하,209637
24,서,201059
25,그,196459
26,로,190536
27,기,184882
28,있,181910
29,도,167509
30,었,164086
31,게,163807
32,사,161880
33,자,154879
34,한,134334
35,해,122667
36,라,119246
37,마,119027
38,했,114173
39,으,108395
40,주,101469
41,시,95583
42,만,91695
43,야,88231
44,말,88122
45,보,87420
46,수,84556
47,일,84001
48,구,83267
49,소,82152
50,내,81610
51,무,80323
52,우,79792
53,려,79083
54,여,76368
55,오,74304
56,부,73988
57,인,73951
58,물,73505
59,와,73064
60,거,72168
61,대,71040
62,면,70245
63,람,66300
64,것,65988
65,모,65417
66,았,63461
67,과,61021
68,장,60738
69,신,56153
70,위,56151
71,생,55773
72,바,55628
73,정,54849
74,두,53257
75,러,51125
76,세,49736
77,스,48955
78,까,48481
79,제,48472
80,동,48459
81,없,48236
82,비,48128
83,안,47112
84,날,43695
85,음,43505
86,되,42756
87,할,41256
88,때,41050
89,전,40783
90,공,40771
91,며,40235
92,예,40158
93,않,39911
94,유,38909
95,금,38729
96,버,38556
97,집,38360
98,운,37704
99,르,37312
100,문,37213
101,왕,37152
102,저,36879
103,상,36679
104,래,36427
105,방,36148
106,달,35784
107,치,35682
108,입,34793
109,원,34404
110,데,33088
111,녀,33020
112,개,32928
113,더,32176
114,님,32163
115,양,31930
116,워,31832
117,머,31831
118,살,31767
119,미,31180
120,작,31075
121,던,30966
122,불,30888
123,렸,30630
124,돌,30587
125,화,30472
126,알,30379
127,새,29893
128,먹,29623
129,울,29264
130,처,29203
131,속,29117
132,드,28660
133,간,28519
134,진,28496
135,당,28445
136,선,28290
137,히,28030
138,조,27871
139,식,27741
140,각,27409
141,귀,27239
142,갔,26480
143,성,25907
144,너,25762
145,왔,25746
146,였,25484
147,름,25358
148,단,25252
149,계,24581
150,랑,24356
151,못,24303
152,노,24296
153,많,24058
154,친,23921
155,눈,23813
156,발,23567
157,네,23456
158,난,23450
159,차,23285
160,엄,23197
161,관,23162
162,년,23125
163,걸,22631
164,같,22156
165,올,22131
166,건,21992
167,져,21919
168,배,21884
169,졌,21730
170,겠,21711
171,감,21689
172,럼,21677
173,느,21660
174,적,21634
175,심,21519
176,좋,21507
177,실,21496
178,열,21390
179,남,21104
180,분,21054
181,른,21030
182,잘,20702
183,빠,20345
184,산,20328
185,행,20273
186,파,20207
187,터,20031
188,얼,20010
189,명,20009
190,경,19819
191,손,19681
192,크,19668
193,벌,19649
194,꽃,19633
195,란,19424
196,연,19340
197,호,19329
198,용,19058
199,피,19020
200,늘,18818
201,외,18724
202,씨,18618
203,국,18493
204,답,18081
205,타,18058
206,길,17914
207,매,17912
208,곳,17845
209,든,17557
210,레,17550
211,누,17543
212,굴,17483
213,온,17433
214,군,17419
215,교,17389
216,놀,17271
217,십,17186
218,영,17158
219,합,17129
220,루,17002
221,린,16885
222,중,16782
223,백,16735
224,뒤,16270
225,디,16156
226,옷,16138
227,끼,16136
228,반,16045
229,약,16008
230,겨,15971
231,번,15963
232,앞,15856
233,왜,15723
234,재,15709
235,질,15653
236,났,15647
237,종,15619
238,큰,15522
239,줄,15388
240,형,15374
241,따,15280
242,잡,15104
243,학,15083
244,색,14977
245,잠,14877
246,목,14845
247,직,14815
248,쪽,14757
249,코,14338
250,추,14318
251,받,14288
252,웃,14272
253,떠,14049
254,천,14020
255,된,14011
256,함,13959
257,키,13884
258,언,13822
259,록,13820
260,침,13719
261,께,13502
262,임,13225
263,프,13025
264,렇,13022
265,몸,12820
266,등,12751
267,찾,12669
268,통,12614
269,쳤,12558
270,움,12536
271,토,12501
272,결,12482
273,회,12396
274,트,12378
275,쳐,12376
276,혼,12369
277,태,12282
278,죽,12204
279,석,12134
280,박,12078
281,빨,11864
282,병,11830
283,갈,11829
284,복,11703
285,밤,11657
286,깨,11656
287,강,11542
288,놓,11511
289,막,11465
290,림,11385
291,편,11371
292,돈,11362
293,빛,11266
294,후,11166
295,웠,11153
296,힘,11109
297,본,11074
298,커,10988
299,앉,10910
300,돼,10803
301,절,10722
302,짝,10712
303,팔,10692
304,책,10469
305,런,10378
306,청,10367
307,떨,10346
308,삼,10270
309,향,10254
310,몰,10204
311,듯,10146
312,황,10117
313,점,10095
314,참,10055
315,법,10049
316,망,9932
317,싶,9911
318,악,9899
319,채,9639
320,족,9582
321,봐,9574
322,순,9560
323,카,9549
324,역,9454
325,뛰,9418
