id,char,freq
0,<pad>,0
1,<sos>,0
2,<eos>,0
3, ,7214365
4,이,872845
5,다,762693
6,는,641816
7,어,598633
8,을,572004
9,요,563195
10,가,519168
11,에,512703
12,니,468672
13,지,392702
14,고,391157
15,아,382322
16,은,365616
17,습,305283
18,를,300281
19,리,293015
20,나,289381
21,들,281539
22,의,277051
23,하,269121
24,서,257885
25,그,252711
26,로,244532
27,기,237009
28,있,233363
29,도,214816
30,었,211067
31,게,210158
32,사,207470
33,자,199070
34,한,172291
35,해,157561
36,라,153050
37,마,152755
38,했,146738
39,으,139153
40,주,130324
41,시,122751
42,만,117885
43,말,113264
44,야,113105
45,보,112272
46,수,108477
47,일,107822
48,구,106717
49,소,105645
50,내,104833
51,무,103256
52,우,102274
53,려,101653
54,여,98412
55,오,95453
56,부,95063
57,인,94854
58,물,94320
59,와,94063
60,거,92549
61,대,91232
62,면,89914
63,람,84948
64,것,84722
65,모,84150
66,았,81501
67,과,78340
68,장,78054
69,신,72259
70,위,72134
71,생,71471
72,바,71411
73,정,70505
74,두,68420
75,러,65703
76,세,63761
77,스,63086
78,까,62287
79,동,62231
80,없,62048
81,제,62007
82,비,61782
83,안,60575
84,날,56269
85,음,55877
86,되,54935
87,할,52938
88,때,52703
89,공,52482
90,전,52373
91,며,51755
92,예,51616
93,않,51260
94,유,49951
95,금,49909
96,버,49574
97,집,49168
98,운,48489
99,르,47931
100,왕,47752
101,문,47740
102,저,47371
103,상,47094
104,래,46758
105,방,46419
106,달,45944
107,치,45800
108,입,44631
109,원,44190
110,데,42500
111,녀,42428
112,개,42376
113,님,41424
114,더,41391
115,머,41120
116,양,40983
117,워,40963
118,살,40853
119,미,39964
120,작,39907
121,던,39871
122,불,39678
123,돌,39383
124,렸,39356
125,화,39129
126,알,38953
127,새,38366
128,먹,37987
129,울,37579
130,처,37577
131,속,37407
132,드,36764
133,당,36639
134,간,36602
135,진,36542
136,선,36234
137,히,36068
138,조,35891
139,식,35512
140,각,35198
141,귀,35034
142,갔,34062
143,성,33207
144,왔,33120
145,너,33026
146,였,32669
147,름,32572
148,단,32483
149,계,31392
150,랑,31325
151,노,31257
152,못,31085
153,많,30811
154,친,30641
155,눈,30631
156,발,30319
157,난,30176
158,네,30072
159,차,29887
160,엄,29837
161,년,29824
162,관,29633
163,걸,29093
164,올,28420
165,같,28400
166,건,28249
167,져,28195
168,배,28115
169,졌,27951
170,럼,27909
171,감,27898
172,겠,27861
173,느,27791
174,심,27673
175,좋,27655
176,적,27648
177,실,27581
178,열,27332
179,남,27070
180,분,27047
181,른,26929
182,잘,26521
183,행,26110
184,빠,26106
185,산,26068
186,파,25982
187,얼,25792
188,터,25690
189,명,25657
190,손,25303
191,경,25284
192,크,25238
193,벌,25229
194,꽃,25164
195,란,25053
196,호,24958
197,연,24788
198,피,24526
199,용,24398
200,늘,24109
201,외,24105
202,씨,23988
203,국,23641
204,타,23135
205,답,23086
206,매,23062
207,길,23039
208,곳,22880
209,굴,22626
210,레,22611
211,든,22579
212,누,22566
213,온,22372
214,군,22333
215,교,22276
216,놀,22193
217,영,22112
218,십,21966
219,합,21858
220,루,21817
221,린,21772
222,중,21526
223,백,21523
224,뒤,20921
225,끼,20776
226,옷,20721
227,디,20668
228,반,20655
229,약,20632
230,겨,20505
231,번,20503
232,앞,20312
233,재,20153
234,났,20150
235,왜,20127
236,질,20024
237,큰,19918
238,종,19904
239,형,19727
240,줄,19684
241,따,19666
242,잡,19389
243,학,19385
244,색,19159
245,목,19108
246,잠,19089
247,직,18928
248,쪽,18896
249,코,18463
250,웃,18413
251,받,18396
252,추,18357
253,떠,18105
254,된,17909
255,키,17908
256,함,17901
257,천,17878
258,언,17758
259,침,17706
260,록,17697
261,께,17308
262,임,16932
263,렇,16681
264,프,16675
265,몸,16433
266,등,16397
267,찾,16293
268,쳤,16278
269,통,16177
270,토,16106
271,결,16002
272,움,15999
273,혼,15928
274,트,15920
275,쳐,15880
276,회,15836
277,태,15802
278,죽,15657
279,석,15589
280,박,15542
281,빨,15245
282,병,15225
283,갈,15211
284,복,15082
285,깨,15003
286,밤,14966
287,강,14850
288,놓,14780
289,막,14721
290,림,14658
291,편,14622
292,돈,14529
293,빛,14432
294,웠,14337
295,후,14321
296,힘,14264
297,커,14200
298,본,14147
299,앉,14034
300,돼,13858
301,절,13791
302,짝,13756
303,팔,13726
304,책,13475
305,런,13384
306,떨,13361
307,청,13338
308,삼,13246
309,향,13101
310,몰,13090
311,듯,13059
312,황,13028
313,점,12995
314,법,12912
315,참,12885
316,망,12784
317,악,12777
318,싶,12677
319,채,12433
320,봐,12379
321,족,12314
322,카,12301
323,순,12166
324,뛰,12116
325,역,12080
