id,char,freq
0,<pad>,0
1,<sos>,0
2,<eos>,0
3, ,35616
4,이,4135
5,다,3663
6,는,3219
7,을,2981
8,에,2644
9,가,2583
10,요,2525
11,어,2489
12,니,2139
13,고,1967
14,지,1789
15,은,1755
16,아,1719
17,를,1460
18,하,1438
19,습,1421
20,의,1420
21,들,1330
22,나,1328
23,리,1322
24,있,1268
25,기,1212
26,로,1176
27,서,1174
28,그,1094
29,사,1050
30,자,1039
31,게,997
32,도,982
33,었,948
34,한,914
35,해,815
36,마,724
37,라,677
38,으,639
39,했,595
40,시,593
41,주,592
42,만,591
43,수,551
44,일,548
45,구,543
46,보,519
47,인,495
48,내,493
49,소,486
50,려,483
51,것,478
52,무,473
53,부,472
54,말,471
55,와,470
56,우,462
57,대,462
58,여,454
59,물,451
60,오,439
61,야,437
62,람,421
63,장,419
64,과,417
65,모,407
66,면,406
67,거,402
68,동,386
69,정,380
70,신,377
71,위,372
72,생,369
73,았,344
74,바,343
75,두,326
76,스,323
77,비,322
78,세,307
79,없,299
80,안,299
81,러,293
82,제,291
83,전,288
84,까,274
85,때,268
86,유,265
87,날,263
88,집,256
89,상,254
90,할,252
91,되,252
92,음,251
93,치,248
94,공,247
95,입,245
96,예,243
97,문,241
98,운,238
99,며,236
100,던,232
101,진,227
102,왕,226
103,않,226
104,버,224
105,원,220
106,양,218
107,작,215
108,르,213
109,금,213
110,방,211
111,래,210
112,화,207
113,달,207
114,워,206
115,간,199
116,개,198
117,미,197
118,데,197
119,더,196
120,저,195
121,선,195
122,히,194
123,식,194
124,성,191
125,처,187
126,각,187
127,알,186
128,녀,185
129,불,184
130,드,184
131,살,183
132,돌,179
133,친,177
134,머,177
135,울,175
136,단,171
137,발,170
138,먹,170
139,노,168
140,조,167
141,새,167
142,름,166
143,관,163
144,계,162
145,렸,161
146,당,159
147,차,158
148,님,156
149,난,155
150,엄,154
151,같,152
152,눈,150
153,적,149
154,속,148
155,배,148
156,많,148
157,행,145
158,져,143
159,실,143
160,른,143
161,피,142
162,였,141
163,럼,140
164,좋,139
165,랑,139
166,년,138
167,열,137
168,연,137
169,남,137
170,네,135
171,올,134
172,손,134
173,꽃,134
174,경,134
175,걸,134
176,란,133
177,너,133
178,감,132
179,갔,131
180,잘,130
181,산,130
182,명,129
183,국,129
184,합,128
185,놀,128
186,건,127
187,파,126
188,얼,126
189,분,126
190,못,125
191,옷,123
192,빠,123
193,린,122
194,느,122
195,종,121
196,든,121
197,터,120
198,타,120
199,늘,120
200,귀,120
201,심,119
202,길,119
203,반,118
204,졌,117
205,왔,116
206,십,116
207,레,116
208,온,115
209,곳,115
210,형,114
211,크,114
212,매,114
213,외,113
214,목,113
215,교,113
216,백,112
217,루,112
218,굴,112
219,재,109
220,받,109
221,뒤,108
222,누,108
223,잠,107
224,색,107
225,겨,107
226,용,106
227,겠,105
228,호,103
229,코,103
230,웃,102
231,중,99
232,씨,99
233,질,98
234,영,98
235,약,98
236,등,98
237,앞,96
238,벌,96
239,쪽,95
240,록,95
241,큰,94
242,찾,94
243,답,94
244,된,93
245,천,92
246,줄,92
247,군,92
248,번,91
249,직,90
250,침,88
251,결,88
252,함,87
253,학,87
254,통,87
255,복,87
256,끼,87
257,강,87
258,따,86
259,언,85
260,프,84
261,났,84
262,회,83
263,트,83
264,토,83
265,후,82
266,쳐,82
267,깨,82
268,키,81
269,림,81
270,께,81
271,편,80
272,잡,80
273,막,80
274,놓,80
275,떠,79
276,듯,79
277,향,78
278,추,78
279,절,78
280,움,78
281,석,78
282,팔,77
283,책,77
284,병,77
285,디,77
286,황,76
287,힘,75
288,혼,75
289,청,75
290,빛,75
291,몸,75
292,본,74
293,태,73
294,커,72
295,법,70
296,갈,70
297,채,69
298,돼,68
299,돈,67
300,짝,66
301,죽,66
302,점,66
303,앉,66
304,빨,66
305,포,65
306,밤,65
307,족,64
308,임,64
309,박,64
310,몰,64
311,표,63
312,업,63
313,농,63
314,풍,62
315,카,62
316,쓰,62
317,망,62
318,런,61
319,떨,61
320,북,60
321,혀,59
322,삼,59
323,맛,59
324,갑,59
325,순,58
326,렇,58
327,뛰,58
328,덕,58
329,활,57
330,초,57
331,봐,57
332,땅,57
333,판,56
334,쳤,56
335,역,56
336,웠,55
337,맞,55
338,꾸,55
339,풀,54
340,육,53
341,악,53
342,술,53
343,력,53
344,글,53
345,싶,52
346,쁜,52
347,료,52
348,될,52
349,락,51
350,득,51
351,긴,51
352,허,50
353,멋,50
354,월,49
355,슬,49
356,품,48
357,둥,48
358,둘,48
359,독,48
360,벽,47
361,끄,47
362,붙,46
363,투,45
364,칠,45
365,참,45
366,쥐,45
367,숨,45
368,애,44
369,빵,44
370,높,44
371,험,43
